OPEID6,INSTNM,STABBR,CONTROL,UGDS,MEDIAN_EARNINGS,STAT_MAJOR_IND,num_colleges,pi_state,N_i,n_i,pi_college_within_state,weight
042679,Brown Beauty Barber School,AL,3,54,NA,0,70,0.13801261829652997,70,5,0.07142857142857142,101.44000000000001
001009,Auburn University,AL,1,25732,65337,1,70,0.13801261829652997,70,5,0.07142857142857142,101.44000000000001
005699,George C Wallace State Community College-Selma,AL,1,828,31598,0,70,0.13801261829652997,70,5,0.07142857142857142,101.44000000000001
001003,Faulkner University,AL,2,1555,43457,1,70,0.13801261829652997,70,5,0.07142857142857142,101.44000000000001
042110,The Salon Professional Academy-Huntsville,AL,3,56,NA,0,70,0.13801261829652997,70,5,0.07142857142857142,101.44000000000001
039803,California State University-Channel Islands,CA,1,5230,62152,1,540,1,540,5,0.009259259259259259,108
042788,Los Angeles Pacific University,CA,2,1453,NA,0,540,1,540,5,0.009259259259259259,108
042961,Madera Community College,CA,1,3852,NA,1,540,1,540,5,0.009259259259259259,108
006973,Canada College,CA,1,4878,50087,1,540,1,540,5,0.009259259259259259,108
021383,Palo Alto University,CA,2,19,83187,0,540,1,540,5,0.009259259259259259,108
032243,New Professions Technical Institute,FL,3,340,25962,0,266,0.5244479495268138,266,5,0.018796992481203006,101.44000000000001
041350,Cozmo Beauty School,FL,3,68,24319,0,266,0.5244479495268138,266,5,0.018796992481203006,101.44000000000001
005586,Lindsey Hopkins Technical College,FL,1,388,34107,0,266,0.5244479495268138,266,5,0.018796992481203006,101.44000000000001
025732,La Belle Beauty Academy,FL,3,142,16212,0,266,0.5244479495268138,266,5,0.018796992481203006,101.44000000000001
001533,Tallahassee Community College,FL,1,10357,37561,0,266,0.5244479495268138,266,5,0.018796992481203006,101.44000000000001
001689,Illinois College of Optometry,IL,2,NA,NA,0,208,0.41009463722397477,208,5,0.02403846153846154,101.43999999999998
001769,South Suburban College,IL,1,2012,33680,0,208,0.41009463722397477,208,5,0.02403846153846154,101.43999999999998
030838,Heartland Community College,IL,1,2991,40768,0,208,0.41009463722397477,208,5,0.02403846153846154,101.43999999999998
010836,Pivot Point Academy,IL,3,113,30453,0,208,0.41009463722397477,208,5,0.02403846153846154,101.43999999999998
001652,City Colleges of Chicago-Harold Washington College,IL,1,4146,36531,0,208,0.41009463722397477,208,5,0.02403846153846154,101.43999999999998
033273,Hair Academy II,MD,3,230,43383,0,67,0.13209779179810727,67,5,0.07462686567164178,101.44000000000001
002089,Prince George's Community College,MD,1,8049,47548,0,67,0.13209779179810727,67,5,0.07462686567164178,101.44000000000001
002103,University of Maryland-College Park,MD,1,30246,82860,1,67,0.13209779179810727,67,5,0.07462686567164178,101.44000000000001
002099,Towson University,MD,1,16400,64390,1,67,0.13209779179810727,67,5,0.07462686567164178,101.44000000000001
002078,Loyola University Maryland,MD,2,3975,82652,1,67,0.13209779179810727,67,5,0.07462686567164178,101.44000000000001
002920,Duke University,NC,2,6417,97800,1,142,0.27996845425867506,142,5,0.035211267605633804,101.44000000000001
035703,Carolina Christian College,NC,2,53,40672,0,142,0.27996845425867506,142,5,0.035211267605633804,101.44000000000001
002942,Livingstone College,NC,2,798,32600,1,142,0.27996845425867506,142,5,0.035211267605633804,101.44000000000001
002949,University of Mount Olive,NC,2,1754,47139,0,142,0.27996845425867506,142,5,0.035211267605633804,101.44000000000001
005463,Alamance Community College,NC,1,2393,34241,0,142,0.27996845425867506,142,5,0.035211267605633804,101.44000000000001
008495,Jamestown Business College,NY,3,251,34976,0,380,0.749211356466877,380,5,0.013157894736842105,101.44000000000001
032163,HJ International Graduate School for Peace and Public Leadership,NY,2,NA,NA,0,380,0.749211356466877,380,5,0.013157894736842105,101.44000000000001
002890,Union Theological Seminary in the City of New York,NY,2,NA,NA,0,380,0.749211356466877,380,5,0.013157894736842105,101.44000000000001
002860,SUNY Adirondack,NY,1,1959,41267,0,380,0.749211356466877,380,5,0.013157894736842105,101.44000000000001
021536,Broome Delaware Tioga BOCES-Practical Nursing Program,NY,1,88,53233,0,380,0.749211356466877,380,5,0.013157894736842105,101.44000000000001
025974,Pontotoc Technology Center,OK,1,68,40955,0,92,0.18138801261829654,92,5,0.05434782608695652,101.44000000000001
009964,Central Technology Center,OK,1,564,36351,0,92,0.18138801261829654,92,5,0.05434782608695652,101.44000000000001
003174,Oklahoma Panhandle State University,OK,1,997,44933,1,92,0.18138801261829654,92,5,0.05434782608695652,101.44000000000001
020527,Northeast Technology Center,OK,1,1340,34457,0,92,0.18138801261829654,92,5,0.05434782608695652,101.44000000000001
003172,Oklahoma State University Institute of Technology,OK,1,2131,45634,0,92,0.18138801261829654,92,5,0.05434782608695652,101.44000000000001
003428,College of Charleston,SC,1,10366,56416,1,75,0.14787066246056782,75,5,0.06666666666666667,101.44000000000001
003435,Lander University,SC,1,3384,42396,0,75,0.14787066246056782,75,5,0.06666666666666667,101.44000000000001
042830,American College of the Building Arts,SC,2,140,NA,0,75,0.14787066246056782,75,5,0.06666666666666667,101.44000000000001
004926,Tri-County Technical College,SC,1,4960,40101,0,75,0.14787066246056782,75,5,0.06666666666666667,101.44000000000001
040833,Academy for Careers and Technology,SC,1,45,46553,0,75,0.14787066246056782,75,5,0.06666666666666667,101.44000000000001
003670,Brigham Young University,UT,2,32221,75790,1,53,0.10449526813880126,53,5,0.09433962264150944,101.43999999999998
036173,Healing Mountain Massage School,UT,3,39,22160,0,53,0.10449526813880126,53,5,0.09433962264150944,101.43999999999998
039093,Paul Mitchell the School-Logan,UT,3,125,23620,0,53,0.10449526813880126,53,5,0.09433962264150944,101.43999999999998
031104,Paul Mitchell the School-St. George,UT,3,103,38043,0,53,0.10449526813880126,53,5,0.09433962264150944,101.43999999999998
041619,Mandalyn Academy,UT,3,62,NA,0,53,0.10449526813880126,53,5,0.09433962264150944,101.43999999999998
